3274,沧州师范学院,4
3275,石家庄铁道大学,24
3276,燕山大学,26
3277,河北科技师范学院,11
3278,唐山学院,4
3279,华北科技学院,12
3280,中国人民武装警察部队学院,1
3281,河北体育学院,3
3282,河北金融学院,6
3283,北华航天工业学院,15
3284,防灾科技学院,43
3285,河北经贸大学,60
3286,中央司法警官学院,1
3287,河北传媒学院,0
3288,河北工程技术学院,0
3289,河北美术学院,2
3290,河北科技学院,8
3291,河北外国语学院,1
3292,河北大学工商学院,3
3293,华北理工大学轻工学院,4
3294,河北科技大学理工学院,1
3295,河北师范大学汇华学院,5
3296,河北经贸大学经济管理学院,4
3297,河北医科大学临床学院,0
3298,华北电力大学科技学院,1
3299,河北工程大学科信学院,0
3300,河北工业大学城市学院,1
3301,燕山大学里仁学院,4
3302,石家庄铁道大学四方学院,3
3303,石家庄经济学院华信学院,1
3304,河北农业大学现代科技学院,0
3305,华北理工大学冀唐学院,0
3306,中国地质大学长城学院,2
3307,燕京理工学院,3
3308,北京中医药大学东方学院,1
3309,北京交通大学海滨学院,1
3310,河北中医学院,5
3311,张家口学院,0
3312,河北工程技术高等专科学校,0
3313,河北工业职业技术学院,4
3314,邯郸职业技术学院,4
3315,石家庄职业技术学院,14
3316,张家口职业技术学院,0
3317,承德石油高等专科学校,6
3318,邢台职业技术学院,9
3319,河北软件职业技术学院,1
3320,河北石油职业技术学院,2
3321,河北建材职业技术学院,8
3322,河北政法职业学院,17
3323,沧州职业技术学院,4
3324,河北能源职业技术学院,2
3325,石家庄铁路职业技术学院,3
3326,保定职业技术学院,2
3327,秦皇岛职业技术学院,2
3328,石家庄工程职业学院,1
3329,石家庄城市经济职业学院,1
3330,唐山职业技术学院,1
3331,衡水职业技术学院,1
3332,唐山工业职业技术学院,11
3333,邢台医学高等专科学校,4
3334,河北省艺术职业学院,0
3335,河北旅游职业学院,10
3336,石家庄财经职业学院,2
3337,河北交通职业技术学院,9
3338,河北化工医药职业技术学院,2
3339,石家庄信息工程职业学院,0
3340,河北外国语职业学院,0
3341,保定电力职业技术学院,0
3342,河北机电职业技术学院,9
3343,渤海石油职业学院,1
3344,廊坊职业技术学院,7
3345,唐山科技职业技术学院,4
3346,石家庄邮电职业技术学院,8
3347,河北公安警察职业学院,0
3348,石家庄工商职业学院,2
3349,石家庄理工职业学院,2
3350,石家庄科技信息职业学院,1
3351,河北司法警官职业学院,0
3352,沧州医学高等专科学校,0
3353,河北女子职业技术学院,2
3354,石家庄医学高等专科学校,7
3355,石家庄经济职业学院,0
3356,冀中职业学院,1
3357,石家庄人民医学高等专科学校,0
3358,石家庄科技工程职业学院,1
3359,河北劳动关系职业学院,2
3360,石家庄科技职业学院,0
3361,廊坊东方职业技术学院,0
3362,泊头职业学院,0
3363,宣化科技职业学院,9
3364,廊坊燕京职业技术学院,0
3365,承德护理职业学院,4
3366,石家庄幼儿师范高等专科学校,0
3367,廊坊卫生职业学院,1
3368,河北轨道运输职业技术学院,1
3369,保定幼儿师范高等专科学校,0
